year,month,state,revenue,handle,hold,taxes,population,poverty,unemployed,med_income,online,in_person,handle_capita,tax_rate,unemployment_rate,poverty_rate,tax_group
2022,9.0,South Dakota,0.211612,0.711577,0.3,0.019045,0.8845132161299433,0.1042822290769131,0.0096889293848209,41181.9462564531,0.0,1.0,0.8044843050660112,8.999962194960588,1.0953967909279407,11.78978755492028,Medium
2022,10.0,South Dakota,0.131749,0.86217,0.15,0.011857,0.8845132161299433,0.1042822290769131,0.0096889293848209,41181.9462564531,0.0,1.0,0.9747395338786426,8.999688802192047,1.0953967909279407,11.78978755492028,Medium
2018,0.0,Tennessee,0.0,0.0,0.0,0.0,6.603013,1.011016,0.178702,32604.0,1.0,0.0,0.0,0.0,2.706370561439149,15.311434340656302,Low
2019,0.0,Tennessee,0.0,0.0,0.0,0.0,6.542792,0.99693,0.169914,32604.0,1.0,0.0,0.0,0.0,2.596964720871457,15.237073102736568,Low
2020,11.0,Tennessee,13.244908,131.444523,0.1,2.363918,6.603468,0.965213,0.17468,32742.0,1.0,0.0,19.90537744712324,17.84774948984168,2.645276694003817,14.616758951508508,Medium
2020,12.0,Tennessee,13.9,180.9,0.08,3.08,6.603468,0.965213,0.17468,32742.0,1.0,0.0,27.394696241429504,22.158273381294965,2.645276694003817,14.616758951508508,Medium
2021,1.0,Tennessee,20.9,211.3,0.1,4.3,6.811613,0.927587,0.178828,36663.0,1.0,0.0,31.02055269434714,20.57416267942584,2.6253399892213487,13.617729016607374,Medium
2021,2.0,Tennessee,13.0,176.3,0.07,2.6,6.811613,0.927587,0.178828,36663.0,1.0,0.0,25.8822690014832,20.0,2.6253399892213487,13.617729016607374,Medium
2021,3.0,Tennessee,18.0,205.9,0.09,3.2,6.811613,0.927587,0.178828,36663.0,1.0,0.0,30.22778892459099,17.77777777777778,2.6253399892213487,13.617729016607374,Medium
2021,4.0,Tennessee,15.5,172.4,0.09,2.8,6.811613,0.927587,0.178828,36663.0,1.0,0.0,25.30971738999265,18.06451612903226,2.6253399892213487,13.617729016607374,Medium
2021,5.0,Tennessee,15.4,160.9,0.1,2.7,6.811613,0.927587,0.178828,36663.0,1.0,0.0,23.62142417662307,17.532467532467532,2.6253399892213487,13.617729016607374,Medium
2021,6.0,Tennessee,18.3,174.5,0.1,3.2,6.811613,0.927587,0.178828,36663.0,1.0,0.0,25.618014411564484,17.486338797814206,2.6253399892213487,13.617729016607374,Medium
2021,7.0,Tennessee,15.1,144.5,0.1,2.6,6.811613,0.927587,0.178828,36663.0,1.0,0.0,21.213771246252534,17.218543046357617,2.6253399892213487,13.617729016607374,Medium
2021,8.0,Tennessee,13.2,144.5,0.09,2.0,6.811613,0.927587,0.178828,36663.0,1.0,0.0,21.213771246252534,15.151515151515152,2.6253399892213487,13.617729016607374,Medium
2021,9.0,Tennessee,25.6,257.3,0.1,3.3,6.811613,0.927587,0.178828,36663.0,1.0,0.0,37.77372554782546,12.890625,2.6253399892213487,13.617729016607374,Medium
2021,10.0,Tennessee,23.3,375.3,0.06,3.4,6.811613,0.927587,0.178828,36663.0,1.0,0.0,55.097081998052445,14.592274678111588,2.6253399892213487,13.617729016607374,Medium
2021,11.0,Tennessee,36.9,365.7,0.1,5.9,6.811613,0.927587,0.178828,36663.0,1.0,0.0,53.68772418515262,15.989159891598916,2.6253399892213487,13.617729016607374,Medium
2021,12.0,Tennessee,24.6,341.8,0.07,3.3,6.811613,0.927587,0.178828,36663.0,1.0,0.0,50.179010463454105,13.414634146341465,2.6253399892213487,13.617729016607374,Medium
2022,1.0,Tennessee,36.249453,386.059756,0.09,5.817504,7.026318846667992,0.8914277393373276,0.1830744995649187,41053.55717427158,1.0,0.0,54.94481028043248,16.04852906332131,2.605553541762996,12.686981032181007,Medium
2022,2.0,Tennessee,20.945018,313.298305,0.07,3.026574,7.026318846667992,0.8914277393373276,0.1830744995649187,41053.55717427158,1.0,0.0,44.58925247159425,14.4500902314813,2.605553541762996,12.686981032181007,Medium
2022,3.0,Tennessee,26.520468,370.230004,0.07,4.550242,7.026318846667992,0.8914277393373276,0.1830744995649187,41053.55717427158,1.0,0.0,52.6918877550753,17.15747248502553,2.605553541762996,12.686981032181007,Medium
2022,4.0,Tennessee,27.1428,292.79667,0.09,4.649129,7.026318846667992,0.8914277393373276,0.1830744995649187,41053.55717427158,1.0,0.0,41.6714180482785,17.12840605980223,2.605553541762996,12.686981032181007,Medium
2022,5.0,Tennessee,27.315928,261.582468,0.1,4.766458,7.026318846667992,0.8914277393373276,0.1830744995649187,41053.55717427158,1.0,0.0,37.228949284595465,17.44937239547564,2.605553541762996,12.686981032181007,Medium
2022,6.0,Tennessee,15.855649,215.774186,0.07,2.559649,7.026318846667992,0.8914277393373276,0.1830744995649187,41053.55717427158,1.0,0.0,30.7094213497476,16.14345146010737,2.605553541762996,12.686981032181007,Medium
2022,7.0,Tennessee,18.174226,182.769323,0.1,3.668804,7.026318846667992,0.8914277393373276,0.1830744995649187,41053.55717427158,1.0,0.0,26.012102067738148,20.18685142354893,2.605553541762996,12.686981032181007,Medium
2022,8.0,Tennessee,27.200883,205.86386,0.13,4.875847,7.026318846667992,0.8914277393373276,0.1830744995649187,41053.55717427158,1.0,0.0,29.2989635814242,17.925326174153977,2.605553541762996,12.686981032181007,Medium
2022,9.0,Tennessee,46.2852,336.933437,0.14,8.716963,7.026318846667992,0.8914277393373276,0.1830744995649187,41053.55717427158,1.0,0.0,47.95305256603605,18.8331540103532,2.605553541762996,12.686981032181007,Medium
2022,10.0,Tennessee,37.295159,405.337575,0.09,6.989818,7.026318846667992,0.8914277393373276,0.1830744995649187,41053.55717427158,1.0,0.0,57.6884687196082,18.741890871144967,2.605553541762996,12.686981032181007,Medium
2022,11.0,Tennessee,47.248222,439.456908,0.11,9.030021,7.026318846667992,0.8914277393373276,0.1830744995649187,41053.55717427158,1.0,0.0,62.54440164046903,19.11187472832311,2.605553541762996,12.686981032181007,Medium
2018,0.0,Texas,0.0,0.0,0.0,0.0,28.074573,4.180675,0.685891,35329.0,0.0,0.0,0.0,0.0,2.443103943201558,14.89132176649668,Low
2019,0.0,Texas,0.0,0.0,0.0,0.0,27.637858,4.072194,0.699858,35329.0,0.0,0.0,0.0,0.0,2.532243996622314,14.734115791462562,Low
2020,0.0,Texas,0.0,0.0,0.0,0.0,28.013446,3.98426,0.744366,35003.0,0.0,0.0,0.0,0.0,2.6571739870917703,14.222670070651072,Low
2021,0.0,Texas,0.0,0.0,0.0,0.0,28.933638,4.122538,0.904662,38059.0,0.0,0.0,0.0,0.0,3.1266790577804286,14.248253192356938,Low
2018,0.0,Utah,0.0,0.0,0.0,0.0,3.110944,0.280773,0.049428,33396.0,0.0,0.0,0.0,0.0,1.588842486396412,9.025331217791129,Low
2019,0.0,Utah,0.0,0.0,0.0,0.0,3.048871,0.298537,0.054776,33396.0,0.0,0.0,0.0,0.0,1.7965994625551556,9.791722903330443,Low
2020,0.0,Utah,0.0,0.0,0.0,0.0,3.102049,0.28336,0.056868,33419.0,0.0,0.0,0.0,0.0,1.8332399004657889,9.134607480410528,Low
2021,0.0,Utah,0.0,0.0,0.0,0.0,3.290444,0.281673,0.058935,37325.0,0.0,0.0,0.0,0.0,1.791095669763716,8.560334106886488,Low
2018,0.0,Vermont,0.0,0.0,0.0,0.0,0.601261,0.066013,0.012865,35474.0,0.0,0.0,0.0,0.0,2.139669793982979,10.979092274403294,Low
2019,0.0,Vermont,0.0,0.0,0.0,0.0,0.599618,0.065652,0.011703,35474.0,0.0,0.0,0.0,0.0,1.951742609461357,10.948970844771171,Low
2020,0.0,Vermont,0.0,0.0,0.0,0.0,0.599938,0.0647,0.012334,35246.0,0.0,0.0,0.0,0.0,2.055879107507776,10.784447726265048,Low
2021,0.0,Vermont,0.0,0.0,0.0,0.0,0.621338,0.06372,0.014009,40249.0,0.0,0.0,0.0,0.0,2.2546504479043614,10.25528778217331,Low
2018,0.0,Virginia,0.0,0.0,0.0,0.0,8.264095,0.884647,0.177948,40405.0,1.0,1.0,0.0,0.0,2.1532666311314186,10.704705112901047,Low
2019,0.0,Virginia,0.0,0.0,0.0,0.0,8.201608,0.865691,0.196047,40405.0,1.0,1.0,0.0,0.0,2.3903483316930045,10.555137480357509,Low
2020,0.0,Virginia,0.0,0.0,0.0,0.0,8.255575,0.826708,0.198413,40573.0,1.0,1.0,0.0,0.0,2.4033819570411508,10.013936037162765,Low
2021,1.0,Virginia,3.586077,58.896564,0.06,0.03971,8.401227,0.854145,0.208399,43963.0,1.0,1.0,7.010471684671774,1.1073381859898714,2.480578134598672,10.166907762401848,Low
2021,2.0,Virginia,12.23878,265.778306,0.05,0.300594,8.401227,0.854145,0.208399,43963.0,1.0,1.0,31.635653458715016,2.456078138507269,2.480578134598672,10.166907762401848,Low
2021,3.0,Virginia,26.573877,304.066245,0.09,1.183488,8.401227,0.854145,0.208399,43963.0,1.0,1.0,36.19307572572435,4.453576721228898,2.480578134598672,10.166907762401848,Low
2021,4.0,Virginia,19.442317,236.432524,0.08,1.652147,8.401227,0.854145,0.208399,43963.0,1.0,1.0,28.14261821517261,8.497685743936795,2.480578134598672,10.166907762401848,Medium
2021,5.0,Virginia,23.173549,226.963573,0.1,2.381116,8.401227,0.854145,0.208399,43963.0,1.0,1.0,27.01552677960017,10.275146029639224,2.480578134598672,10.166907762401848,Medium
2021,6.0,Virginia,22.006296,234.943435,0.09,2.273995,8.401227,0.854145,0.208399,43963.0,1.0,1.0,27.96537160583805,10.333383682560664,2.480578134598672,10.166907762401848,Medium
2021,7.0,Virginia,19.965556,161.901955,0.12,1.864433,8.401227,0.854145,0.208399,43963.0,1.0,1.0,19.271227286204734,9.338247329550953,2.480578134598672,10.166907762401848,Medium
2021,8.0,Virginia,17.967427,182.418252,0.1,1.37854,8.401227,0.854145,0.208399,43963.0,1.0,1.0,21.71328688059494,7.672439687663682,2.480578134598672,10.166907762401848,Low
2021,9.0,Virginia,30.929243,293.851531,0.11,1.557498,8.401227,0.854145,0.208399,43963.0,1.0,1.0,34.97721594714677,5.035680957338658,2.480578134598672,10.166907762401848,Low
2021,10.0,Virginia,30.160385,427.320306,0.07,1.746204,8.401227,0.854145,0.208399,43963.0,1.0,1.0,50.86403521771284,5.789727153681891,2.480578134598672,10.166907762401848,Low
2021,11.0,Virginia,48.337037,402.621132,0.12,4.233167,8.401227,0.854145,0.208399,43963.0,1.0,1.0,47.92408680303484,8.75760547755544,2.480578134598672,10.166907762401848,Medium
2021,12.0,Virginia,31.515015,426.596891,0.07,1.72913,8.401227,0.854145,0.208399,43963.0,1.0,1.0,50.777926962335385,5.486686266847724,2.480578134598672,10.166907762401848,Low
2022,1.0,Virginia,39.050067,485.544417,0.08,2.876609,8.549448718657272,0.8824925862880243,0.2188875890239047,47636.24501515787,1.0,1.0,56.79248253052939,7.366463673417002,2.560253838896433,10.322216265970228,Low
2022,2.0,Virginia,27.498133,401.889135,0.07,1.40628,8.549448718657272,0.8824925862880243,0.2188875890239047,47636.24501515787,1.0,1.0,47.00760811898506,5.114092654944973,2.560253838896433,10.322216265970228,Low
2022,3.0,Virginia,33.700016,469.484017,0.07,2.116289,8.549448718657272,0.8824925862880243,0.2188875890239047,47636.24501515787,1.0,1.0,54.91395205113699,6.279786336006488,2.560253838896433,10.322216265970228,Low
2022,4.0,Virginia,36.275264,399.478366,0.09,3.040327,8.549448718657272,0.8824925862880243,0.2188875890239047,47636.24501515787,1.0,1.0,46.7256286511465,8.381267742117604,2.560253838896433,10.322216265970228,Medium
2022,5.0,Virginia,42.537524,351.452931,0.12,3.89627,8.549448718657272,0.8824925862880243,0.2188875890239047,47636.24501515787,1.0,1.0,41.10825651635667,9.159606939040458,2.560253838896433,10.322216265970228,Medium
2022,6.0,Virginia,25.965182,295.235271,0.09,1.871961,8.549448718657272,0.8824925862880243,0.2188875890239047,47636.24501515787,1.0,1.0,34.532667627529555,7.209504635861979,2.560253838896433,10.322216265970228,Low
2022,7.0,Virginia,26.024408,266.001583,0.1,3.060304,8.549448718657272,0.8824925862880243,0.2188875890239047,47636.24501515787,1.0,1.0,31.113302360596727,11.759360674025706,2.560253838896433,10.322216265970228,Medium
2022,8.0,Virginia,31.442959,284.671331,0.11,4.474132,8.549448718657272,0.8824925862880243,0.2188875890239047,47636.24501515787,1.0,1.0,33.29703941948539,14.229360538236875,2.560253838896433,10.322216265970228,Medium
2022,9.0,Virginia,53.821382,411.273323,0.13,7.257403,8.549448718657272,0.8824925862880243,0.2188875890239047,47636.24501515787,1.0,1.0,48.10524473963887,13.48423754707748,2.560253838896433,10.322216265970228,Medium
2022,10.0,Virginia,51.164199,528.029938,0.1,6.956643,8.549448718657272,0.8824925862880243,0.2188875890239047,47636.24501515787,1.0,1.0,61.76186972707281,13.59670069299824,2.560253838896433,10.322216265970228,Medium
2018,0.0,Washington,0.0,0.0,0.0,0.0,7.400557,0.759013,0.162439,41735.0,0.0,1.0,0.0,0.0,2.194956406659661,10.25616044846354,Low
2019,0.0,Washington,0.0,0.0,0.0,0.0,7.26681,0.785244,0.183334,41735.0,0.0,1.0,0.0,0.0,2.5228951905994514,10.805896947904236,Low
2020,0.0,Washington,0.0,0.0,0.0,0.0,7.372433,0.751044,0.184403,41498.0,0.0,1.0,0.0,0.0,2.501250265685697,10.18719329154975,Low
2021,0.0,Washington,0.0,0.0,0.0,0.0,7.59996,0.754315,0.229245,46951.0,0.0,1.0,0.0,0.0,3.016397454723446,9.925249606576877,Low
2018,0.0,Washington DC,0.0,0.0,0.0,0.0,0.669031,0.108055,0.030539,61960.0,1.0,1.0,0.0,0.0,4.5646614282447295,16.150970582828,Low
2019,0.0,Washington DC,0.0,0.0,0.0,0.0,0.659676,0.10714,0.026788,61960.0,1.0,1.0,0.0,0.0,4.060781353270393,16.241306338263026,Low
2020,5.0,Washington DC,-0.00024,0.009723,-0.02,-2.4e-05,0.669089,0.103391,0.02824,59677.0,1.0,1.0,0.0145316990714239,10.0,4.220664216569096,15.45250332915352,Medium
2020,6.0,Washington DC,0.036985,0.22373,0.17,0.003698,0.669089,0.103391,0.02824,59677.0,1.0,1.0,0.3343800301604121,9.99864810058132,4.220664216569096,15.45250332915352,Medium
2020,7.0,Washington DC,0.14228,0.7415,0.19,0.014228,0.669089,0.103391,0.02824,59677.0,1.0,1.0,1.1082232707457451,10.0,4.220664216569096,15.45250332915352,Medium
2020,7.0,Washington DC,0.00174,0.00183,0.95,0.000174,0.669089,0.103391,0.02824,59677.0,1.0,1.0,0.0027350621516719,10.0,4.220664216569096,15.45250332915352,Medium
2020,8.0,Washington DC,0.278141,2.132032,0.13,0.027814,0.669089,0.103391,0.02824,59677.0,1.0,1.0,3.1864699613952703,9.999964047012124,4.220664216569096,15.45250332915352,Medium
2020,8.0,Washington DC,1.425275,9.13041,0.16,0.142527,0.669089,0.103391,0.02824,59677.0,1.0,1.0,13.646032142211274,9.999964919050708,4.220664216569096,15.45250332915352,Medium
2020,9.0,Washington DC,0.498896,3.269118,0.15,0.049889,0.669089,0.103391,0.02824,59677.0,1.0,1.0,4.885923995163573,9.999879734453671,4.220664216569096,15.45250332915352,Medium
